"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 13 17:15:21 CST 2021","Wed Jan 13 17:15:21 CST 2021","47","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Wed Jan 13 17:15:21 CST 2021","Wed Jan 13 17:15:21 CST 2021","47","test_cases","test_updateUserInfo","","","","修改个人信息的接口",""
"passed","Wed Jan 13 17:15:21 CST 2021","Wed Jan 13 17:15:21 CST 2021","65","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Wed Jan 13 17:15:21 CST 2021","Wed Jan 13 17:15:21 CST 2021","32","test_cases","test_updateUserInfo","","","","修改个人信息的接口",""
"passed","Wed Jan 13 17:15:21 CST 2021","Wed Jan 13 17:15:21 CST 2021","27","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Wed Jan 13 17:15:21 CST 2021","Wed Jan 13 17:15:21 CST 2021","31","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
"passed","Wed Jan 13 17:15:21 CST 2021","Wed Jan 13 17:15:21 CST 2021","40","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
"passed","Wed Jan 13 17:15:21 CST 2021","Wed Jan 13 17:15:21 CST 2021","33","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
