"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 04 14:02:46 CST 2021","Mon Jan 04 14:02:47 CST 2021","1053","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 14:02:47 CST 2021","Mon Jan 04 14:02:48 CST 2021","80","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 14:02:46 CST 2021","Mon Jan 04 14:02:46 CST 2021","47","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
"passed","Mon Jan 04 14:02:46 CST 2021","Mon Jan 04 14:02:46 CST 2021","48","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
"passed","Mon Jan 04 14:02:48 CST 2021","Mon Jan 04 14:02:48 CST 2021","120","test_cases","test_updateUserInfo","","","","修改个人信息的接口",""
"passed","Mon Jan 04 14:02:48 CST 2021","Mon Jan 04 14:02:48 CST 2021","30","test_cases","test_updateUserInfo","","","","修改个人信息的接口",""
"passed","Mon Jan 04 14:02:47 CST 2021","Mon Jan 04 14:02:47 CST 2021","64","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 14:02:46 CST 2021","Mon Jan 04 14:02:46 CST 2021","71","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
