"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 04 13:18:28 CST 2021","Mon Jan 04 13:18:28 CST 2021","53","test_cases","test_updateUserInfo","","","","test_modifyUserInfo[cases0]",""
"passed","Mon Jan 04 13:18:28 CST 2021","Mon Jan 04 13:18:28 CST 2021","30","test_cases","test_checkRegister","","","","test_checkRegister[cases2]",""
"passed","Mon Jan 04 13:18:28 CST 2021","Mon Jan 04 13:18:28 CST 2021","31","test_cases","test_login","","","","测试的登录功能","登录接口一共两个用例"
"passed","Mon Jan 04 13:18:28 CST 2021","Mon Jan 04 13:18:28 CST 2021","27","test_cases","test_checkRegister","","","","test_checkRegister[cases1]",""
"passed","Mon Jan 04 13:18:28 CST 2021","Mon Jan 04 13:18:28 CST 2021","45","test_cases","test_login","","","","测试的登录功能","登录接口一共两个用例"
"passed","Mon Jan 04 13:18:28 CST 2021","Mon Jan 04 13:18:28 CST 2021","25","test_cases","test_updateUserInfo","","","","test_modifyUserInfo[cases1]",""
"passed","Mon Jan 04 13:18:28 CST 2021","Mon Jan 04 13:18:28 CST 2021","39","test_cases","test_checkRegister","","","","test_checkRegister[cases0]",""
"passed","Mon Jan 04 13:18:28 CST 2021","Mon Jan 04 13:18:28 CST 2021","37","test_cases","test_login","","","","测试的登录功能","登录接口一共两个用例"
