"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 31 16:59:22 CST 2020","Thu Dec 31 16:59:22 CST 2020","37","test_cases","test_updateUserInfo","","","","test_modifyUserInfo[cases0]",""
"passed","Thu Dec 31 16:59:22 CST 2020","Thu Dec 31 16:59:22 CST 2020","22","test_cases","test_login","","","","测试的登录功能","登录接口一共两个用例"
"passed","Thu Dec 31 16:59:21 CST 2020","Thu Dec 31 16:59:21 CST 2020","37","test_cases","test_checkRegister","","","","test_checkRegister[cases0]",""
"passed","Thu Dec 31 16:59:21 CST 2020","Thu Dec 31 16:59:22 CST 2020","21","test_cases","test_checkRegister","","","","test_checkRegister[cases2]",""
"passed","Thu Dec 31 16:59:22 CST 2020","Thu Dec 31 16:59:22 CST 2020","23","test_cases","test_updateUserInfo","","","","test_modifyUserInfo[cases1]",""
"passed","Thu Dec 31 16:59:21 CST 2020","Thu Dec 31 16:59:21 CST 2020","23","test_cases","test_checkRegister","","","","test_checkRegister[cases1]",""
"passed","Thu Dec 31 16:59:22 CST 2020","Thu Dec 31 16:59:22 CST 2020","37","test_cases","test_login","","","","测试的登录功能","登录接口一共两个用例"
"passed","Thu Dec 31 16:59:22 CST 2020","Thu Dec 31 16:59:22 CST 2020","22","test_cases","test_login","","","","测试的登录功能","登录接口一共两个用例"
