"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 04 14:01:19 CST 2021","Mon Jan 04 14:01:19 CST 2021","57","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
"passed","Mon Jan 04 14:01:20 CST 2021","Mon Jan 04 14:01:20 CST 2021","32","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 14:01:19 CST 2021","Mon Jan 04 14:01:19 CST 2021","222","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
"passed","Mon Jan 04 14:01:20 CST 2021","Mon Jan 04 14:01:20 CST 2021","67","test_cases","test_updateUserInfo","","","","修改个人信息的接口",""
"passed","Mon Jan 04 14:01:20 CST 2021","Mon Jan 04 14:01:20 CST 2021","41","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 14:01:20 CST 2021","Mon Jan 04 14:01:20 CST 2021","42","test_cases","test_updateUserInfo","","","","修改个人信息的接口",""
"passed","Mon Jan 04 14:01:19 CST 2021","Mon Jan 04 14:01:20 CST 2021","57","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 14:01:19 CST 2021","Mon Jan 04 14:01:19 CST 2021","34","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
