"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 04 13:24:15 CST 2021","Mon Jan 04 13:24:15 CST 2021","46","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 13:24:15 CST 2021","Mon Jan 04 13:24:15 CST 2021","63","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
"passed","Mon Jan 04 13:24:14 CST 2021","Mon Jan 04 13:24:15 CST 2021","1069","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
"passed","Mon Jan 04 13:24:15 CST 2021","Mon Jan 04 13:24:15 CST 2021","28","test_cases","test_updateUserInfo","","","","修改个人信息的接口",""
"passed","Mon Jan 04 13:24:15 CST 2021","Mon Jan 04 13:24:15 CST 2021","27","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 13:24:15 CST 2021","Mon Jan 04 13:24:15 CST 2021","31","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 13:24:15 CST 2021","Mon Jan 04 13:24:15 CST 2021","57","test_cases","test_updateUserInfo","","","","修改个人信息的接口",""
"passed","Mon Jan 04 13:24:15 CST 2021","Mon Jan 04 13:24:15 CST 2021","66","test_cases","test_checkRegister","","","","测试检查手机号是否注册接口",""
