"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 04 13:22:25 CST 2021","Mon Jan 04 13:22:25 CST 2021","39","test_cases","test_updateUserInfo","","","","test_modifyUserInfo[cases0]",""
"passed","Mon Jan 04 13:22:23 CST 2021","Mon Jan 04 13:22:24 CST 2021","1044","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 13:22:24 CST 2021","Mon Jan 04 13:22:24 CST 2021","34","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
"passed","Mon Jan 04 13:22:23 CST 2021","Mon Jan 04 13:22:23 CST 2021","26","test_cases","test_checkRegister","","","","test_checkRegister[cases2]",""
"passed","Mon Jan 04 13:22:23 CST 2021","Mon Jan 04 13:22:23 CST 2021","40","test_cases","test_checkRegister","","","","test_checkRegister[cases0]",""
"passed","Mon Jan 04 13:22:25 CST 2021","Mon Jan 04 13:22:25 CST 2021","22","test_cases","test_updateUserInfo","","","","test_modifyUserInfo[cases1]",""
"passed","Mon Jan 04 13:22:23 CST 2021","Mon Jan 04 13:22:23 CST 2021","37","test_cases","test_checkRegister","","","","test_checkRegister[cases1]",""
"passed","Mon Jan 04 13:22:24 CST 2021","Mon Jan 04 13:22:24 CST 2021","23","test_cases","test_login","","","","测试的登录功能","登录接口一共三个用例"
